0	afghanistan
1	africa
2	albania
3	algeria
4	american_samoa
5	americas
6	andorra
7	angola
8	anguilla
9	antigua_and_barbuda
10	argentina
11	armenia
12	aruba
13	asia
14	australia
15	australia_and_new_zealand
16	austria
17	azerbaijan
18	bahamas
19	bahrain
20	bangladesh
21	barbados
22	belarus
23	belgium
24	belize
25	benin
26	bermuda
27	bhutan
28	bolivia
29	bosnia_and_herzegovina
30	botswana
31	brazil
32	british_indian_ocean_territory
33	british_virgin_islands
34	brunei
35	bulgaria
36	burkina_faso
37	burundi
38	cambodia
39	cameroon
40	canada
41	cape_verde
42	caribbean
43	cayman_islands
44	central_african_republic
45	central_america
46	central_asia
47	central_europe
48	chad
49	chile
50	china
51	christmas_island
52	cocos_keeling_islands
53	colombia
54	comoros
55	cook_islands
56	costa_rica
57	croatia
58	cuba
59	curaçao
60	cyprus
61	czechia
62	denmark
63	djibouti
64	dominica
65	dominican_republic
66	dr_congo
67	eastern_africa
68	eastern_asia
69	eastern_europe
70	ecuador
71	egypt
72	el_salvador
73	equatorial_guinea
74	eritrea
75	estonia
76	ethiopia
77	europe
78	falkland_islands
79	faroe_islands
80	fiji
81	finland
82	france
83	french_guiana
84	french_polynesia
85	gabon
86	gambia
87	georgia
88	germany
89	ghana
90	gibraltar
91	greece
92	greenland
93	grenada
94	guadeloupe
95	guam
96	guatemala
97	guernsey
98	guinea
99	guinea-bissau
100	guyana
101	haiti
102	honduras
103	hong_kong
104	hungary
105	iceland
106	india
107	indonesia
108	iran
109	iraq
110	ireland
111	isle_of_man
112	israel
113	italy
114	ivory_coast
115	jamaica
116	japan
117	jersey
118	jordan
119	kazakhstan
120	kenya
121	kiribati
122	kosovo
123	kuwait
124	kyrgyzstan
125	laos
126	latvia
127	lebanon
128	lesotho
129	liberia
130	libya
131	liechtenstein
132	lithuania
133	luxembourg
134	macau
135	macedonia
136	madagascar
137	malawi
138	malaysia
139	maldives
140	mali
141	malta
142	marshall_islands
143	martinique
144	mauritania
145	mauritius
146	mayotte
147	melanesia
148	mexico
149	micronesia
150	middle_africa
151	moldova
152	monaco
153	mongolia
154	montenegro
155	montserrat
156	morocco
157	mozambique
158	myanmar
159	namibia
160	nauru
161	nepal
162	netherlands
163	new_caledonia
164	new_zealand
165	nicaragua
166	niger
167	nigeria
168	niue
169	norfolk_island
170	north_korea
171	northern_africa
172	northern_america
173	northern_europe
174	northern_mariana_islands
175	norway
176	oceania
177	oman
178	pakistan
179	palau
180	palestine
181	panama
182	papua_new_guinea
183	paraguay
184	peru
185	philippines
186	pitcairn_islands
187	poland
188	polynesia
189	portugal
190	puerto_rico
191	qatar
192	republic_of_the_congo
193	romania
194	russia
195	rwanda
196	réunion
197	saint_barthélemy
198	saint_kitts_and_nevis
199	saint_lucia
200	saint_martin
201	saint_pierre_and_miquelon
202	saint_vincent_and_the_grenadines
203	samoa
204	san_marino
205	saudi_arabia
206	senegal
207	serbia
208	seychelles
209	sierra_leone
210	singapore
211	sint_maarten
212	slovakia
213	slovenia
214	solomon_islands
215	somalia
216	south-eastern_asia
217	south_africa
218	south_america
219	south_georgia
220	south_korea
221	south_sudan
222	southern_africa
223	southern_asia
224	southern_europe
225	spain
226	sri_lanka
227	sudan
228	suriname
229	svalbard_and_jan_mayen
230	swaziland
231	sweden
232	switzerland
233	syria
234	são_tomé_and_príncipe
235	taiwan
236	tajikistan
237	tanzania
238	thailand
239	timor-leste
240	togo
241	tokelau
242	tonga
243	trinidad_and_tobago
244	tunisia
245	turkey
246	turkmenistan
247	turks_and_caicos_islands
248	tuvalu
249	uganda
250	ukraine
251	united_arab_emirates
252	united_kingdom
253	united_states
254	united_states_minor_outlying_islands
255	united_states_virgin_islands
256	uruguay
257	uzbekistan
258	vanuatu
259	vatican_city
260	venezuela
261	vietnam
262	wallis_and_futuna
263	western_africa
264	western_asia
265	western_europe
266	western_sahara
267	yemen
268	zambia
269	zimbabwe
270	Åland_islands
